"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"475",21600,"HX470450","10/16/14","051XX W FULTON ST",110,"HOMICIDE","FIRST DEGREE MURDER","APARTMENT",TRUE,TRUE,1532,15,28,25,"01A",1142113,1901458,2014,"8/17/2015 15:03",41.88566085,-87.7535926,"(41.885660845, -87.753592601)"
"476",21599,"HX469969","10/16/14","075XX S COLFAX AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,421,4,7,43,"01A",1194833,1855559,2014,"8/17/2015 15:03",41.75857145,-87.56151104,"(41.758571453, -87.561511043)"
"477",21601,"HX467125","10/14/14","052XX W LAWRENCE AVE",110,"HOMICIDE","FIRST DEGREE MURDER","ALLEY",TRUE,FALSE,1623,16,45,11,"01A",1140601,1931416,2014,"8/17/2015 15:03",41.96789664,-87.75840741,"(41.967896644, -87.758407406)"
"478",21726,"HX367730","10/13/14","002XX S LA SALLE ST",110,"HOMICIDE","FIRST DEGREE MURDER","GOVERNMENT BUILDING",TRUE,FALSE,122,1,42,32,"01A",1175171,1899118,2014,"8/17/2015 15:03",41.87856274,-87.63226764,"(41.878562742, -87.632267636)"
"479",21597,"HX465132","10/12/14","023XX N MELVINA AVE",110,"HOMICIDE","FIRST DEGREE MURDER","PORCH",FALSE,FALSE,2512,25,29,19,"01A",1134689,1914856,2014,"8/17/2015 15:03",41.92256105,-87.78053841,"(41.922561045, -87.78053841)"
"480",21596,"HX463147","10/11/14","044XX W MADISON ST",110,"HOMICIDE","FIRST DEGREE MURDER","BARBER SHOP/BEAUTY SALON",FALSE,FALSE,1113,11,28,26,"01A",1146838,1899646,2014,"8/17/2015 15:03",41.8805996,-87.73628756,"(41.880599603, -87.73628756)"
"481",21595,"HX463042","10/11/14","088XX S CARPENTER ST",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,2222,22,21,71,"01A",1170862,1846210,2014,"8/17/2015 15:03",41.73347313,-87.64963464,"(41.733473126, -87.649634636)"
"482",21594,"HX460710","10/9/14","051XX S HYDE PARK BLVD",110,"HOMICIDE","FIRST DEGREE MURDER","HALLWAY",TRUE,TRUE,234,2,4,41,"01A",1188358,1871125,2014,"8/17/2015 15:03",41.80144275,-87.5847444,"(41.801442754, -87.5847444)"
"483",21590,"HX460570","10/8/14","007XX S SPRINGFIELD AVE",110,"HOMICIDE","FIRST DEGREE MURDER","PARK PROPERTY",FALSE,FALSE,1132,11,24,26,"01A",1150505,1896307,2014,"8/17/2015 15:03",41.87136622,-87.72290975,"(41.871366222, -87.722909752)"
"484",21593,"HX458493","10/8/14","107XX S WENTWORTH AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",TRUE,FALSE,513,5,34,49,"01A",1176846,1833909,2014,"8/17/2015 15:03",41.69958498,-87.6280815,"(41.699584978, -87.628081503)"
